postcode,count
3809,333
3810,1441
3812,112
3813,46
3814,86
3815,127
3816,86
3818,408
3820,632
3821,126
3822,22
3823,63
3824,101
3825,307
3831,65
3832,12
3833,11
3835,12
3840,321
3842,49
3844,761
3847,45
3850,454
3851,135
3853,8
3854,24
3856,15
3857,9
3858,72
3859,24
3860,183
3862,85
3864,7
3865,16
3869,35
3870,24
3871,79
3874,11
3875,647
3878,26
3880,114
3882,30
3885,61
3886,13
3887,10
3888,74
3889,6
3890,7
3891,8
3892,51
3895,8
3896,17
3898,37
3900,8
3902,9
3903,22
3904,49
3909,272
3910,625
3911,160
3912,620
3913,164
3915,323
3916,49
3918,123
3919,68
3921,5
3922,382
3923,29
3925,209
3926,173
3927,75
3928,37
3929,72
3930,865
3931,1349
3933,77
3934,815
3936,539
3937,125
3938,131
3939,574
3940,116
3941,636
3942,128
3943,122
3944,31
3945,38
3946,8
3950,132
3951,41
3953,236
3954,13
3956,79
3957,5
3959,53
3960,91
3962,18
3964,11
3965,5
3966,11
3971,89
3975,535
3976,594
3977,3000
3978,798
3979,12
3980,103
3981,146
3984,149
3987,39
3988,29
3991,14
3992,21
3995,337
3996,219
4000,3237
4001,66
4004,12
4005,910
4006,1728
4007,678
4008,127
4009,202
4010,304
4011,698
4012,729
4013,253
4014,549
4017,921
4018,303
4019,609
4020,708
4021,228
4022,119
4025,10
4030,607
4031,480
4032,571
4034,1494
4035,826
4036,139
4037,258
4051,1036
4053,1429
4054,332
4055,499
4059,522
4060,524
4061,596
4064,1111
4065,398
4066,781
4067,239
4068,790
4069,1305
4070,377
4073,341
4074,920
4075,796
4076,338
4077,824
4078,574
4101,1484
4102,526
4103,503
4104,235
4105,569
4106,311
4107,352
4108,527
4109,1652
4110,653
4111,28
4112,315
4113,1312
4114,732
4115,613
4116,1036
4117,90
4118,829
4119,542
4120,536
4121,894
4122,1664
4123,700
4124,611
4125,262
4127,1127
4128,597
4129,406
4130,375
4131,312
4132,389
4133,454
4151,703
4152,1510
4153,143
4154,394
4155,119
4156,144
4157,939
4158,96
4159,397
4160,587
4161,370
4163,644
4164,523
4165,1095
4169,709
4170,1029
4171,794
4172,345
4173,344
4174,167
4178,830
4179,586
4183,116
4184,147
4205,104
4207,1835
4208,786
4209,1824
4210,857
4211,2594
4212,1690
4213,1525
4214,2309
4215,2581
4216,1688
4217,3079
4218,2242
4219,26
4220,2463
4221,1436
4223,909
4224,362
4225,515
4226,1765
4227,1127
4228,329
4230,24
4270,160
4271,14
4272,412
4275,181
4280,527
4285,550
4287,34
4300,1478
4301,470
4303,53
4304,306
4305,1144
4306,951
4307,37
4309,87
4310,195
4311,217
4312,64
4313,64
4314,51
4340,120
4341,282
4342,75
4343,326
4344,94
4346,31
4347,36
4350,3210
4352,869
4353,13
4354,28
4355,77
4356,171
4357,74
4358,80
4359,44
4360,22
4361,101
4362,114
4363,22
4364,16
4365,14
4370,604
4371,28
4372,7
4373,37
4374,18
4375,9
4376,17
4377,23
4378,32
4380,323
4381,22
4382,41
4383,10
4385,57
4387,56
4388,20
4390,404
4400,36
4401,126
4402,15
4403,49
4404,35
4405,490
4406,91
4407,29
4408,44
4410,63
4411,30
4412,21
4413,229
4415,64
4416,37
4417,33
4419,36
4420,70
4421,60
4422,46
4423,19
4424,9
4425,11
4426,7
4427,19
4428,33
4454,39
4455,323
4461,7
4462,7
4465,50
4467,10
4468,18
4470,80
4472,44
4477,24
4478,28
4480,36
4481,6
4486,53
4487,138
4488,15
4490,54
4491,7
4494,17
4496,21
4497,35
4498,11
4500,1428
4501,161
4502,176
4503,970
4504,453
4505,607
4506,482
4507,450
4508,314
4509,934
4510,991
4511,194
4512,138
4514,203
4515,94
4516,135
4517,19
4518,174
4519,272
4520,658
4521,205
4550,189
4551,2305
4552,409
4553,335
4554,114
4555,308
4556,2116
4557,1036
4558,1376
4559,305
4560,1167
4561,426
4562,594
4563,435
4564,606
4565,622
4566,832
4567,1070
4568,157
4569,68
4570,1200
4571,36
4572,263
4573,1626
4574,60
4575,1465
4580,103
4581,100
4600,23
4601,46
4605,103
4606,66
4608,36
4610,412
4611,6
4612,8
4613,27
4614,24
4615,157
4620,10
4621,38
4625,83
4626,66
4627,17
4630,47
4650,587
4655,1452
4659,68
4660,187
4662,10
4670,1711
4671,75
4673,14
4674,26
4677,163
4678,9
4680,974
4694,6
4695,15
4699,19
4700,634
4701,735
4702,657
4703,627
4705,17
4707,8
4709,8
4710,83
4711,32
4712,9
4714,23
4715,122
4716,19
4717,51
4718,43
4719,38
4720,392
4721,97
4722,62
4723,43
4724,35
4725,43
4726,6
4727,10
4728,9
4730,119
4732,7
4735,35
4737,145
4738,28
4739,7
4740,1865
4741,140
4742,25
4744,88
4745,23
4746,12
4750,75
4751,71
4753,75
4754,43
4756,14
4757,11
4798,24
4799,24
4800,388
4802,772
4803,17
4804,30
4805,234
4806,68
4807,282
4808,20
4809,35
4810,956
4811,241
4812,620
4814,1056
4815,244
4816,181
4817,573
4818,575
4819,133
4820,176
4821,51
4822,22
4823,28
4824,38
4825,260
4828,8
4829,10
4830,11
4849,47
4850,373
4852,209
4854,163
4855,32
4856,15
4858,40
4859,9
4860,296
4861,30
4865,237
4868,560
4869,426
4870,3786
4871,277
4872,163
4873,342
4874,74
4875,63
4876,22
4877,539
4878,523
4879,814
4880,396
4881,269
4882,112
4883,327
4884,92
4885,138
4886,23
4887,41
4888,69
4890,24
4891,28
4892,20
4895,104
5000,3210
5001,16
5005,8
5006,568
5007,462
5008,446
5009,343
5010,176
5011,400
5012,272
5013,430
5014,376
5015,306
5016,201
5017,50
5018,100
5019,229
5020,71
5021,210
5022,550
5023,434
5024,429
5025,273
5031,668
5032,401
5033,379
5034,544
5035,314
5037,327
5038,483
5039,484
5040,64
5041,431
5042,370
5043,412
5044,423
5045,701
5046,258
5047,210
5048,456
5049,340
5050,166
5051,439
5052,190
5061,684
5062,555
5063,786
5064,420
5065,567
5066,490
5067,1120
5068,462
5069,589
5070,572
5071,10
5072,435
5073,465
5074,454
5075,297
5076,263
5081,397
5082,594
5083,236
5084,382
5085,583
5086,449
5087,364
5088,160
5089,173
5090,137
5091,186
5092,434
5093,198
5094,194
5095,658
5096,374
5097,295
5098,242
5106,75
5107,345
5108,621
5109,350
5110,204
5111,18
5112,262
5113,170
5114,432
5115,129
5116,147
5117,73
5118,506
5120,130
5121,52
5125,456
5126,151
5127,140
5131,52
5132,18
5133,11
5134,19
5136,22
5137,24
5138,21
5139,7
5140,11
5141,22
5142,31
5144,24
5151,16
5152,310
5153,243
5154,135
5155,141
5156,38
5157,111
5158,628
5159,758
5160,247
5161,208
5162,640
5163,224
5164,33
5165,161
5166,28
5167,146
5168,147
5169,395
5170,40
5171,347
5172,213
5173,353
5174,77
5201,75
5202,31
5203,48
5204,103
5210,69
5211,479
5212,84
5213,58
5214,207
5220,22
5221,14
5222,39
5223,209
5231,42
5232,12
5233,54
5234,40
5235,92
5236,7
5237,10
5238,95
5240,21
5241,80
5242,61
5243,38
5244,170
5245,192
5250,124
5251,479
5252,155
5253,347
5254,59
5255,307
5256,24
5259,19
5260,37
5261,12
5263,20
5264,53
5265,11
5266,17
5267,42
5268,54
5269,5
5270,12
5271,194
5272,21
5275,70
5276,90
5277,80
5278,6
5280,173
5290,616
5291,181
5301,10
5302,16
5304,18
5307,12
5311,5
5320,19
5321,6
5322,17
5330,101
5331,11
5332,10
5333,176
5340,30
5341,193
5342,25
5343,143
5344,16
5345,54
5346,9
5350,14
5351,156
5352,270
5353,179
5354,8
5355,245
5356,26
5357,12
5360,56
5371,38
5372,40
5373,94
5374,60
5381,14
5400,17
5401,22
5410,7
5411,10
5412,22
5413,34
5414,8
5415,10
5416,8
5417,47
5418,6
5419,13
5422,38
5431,49
5432,13
5433,37
5434,32
5440,13
5451,49
5452,29
5453,272
5454,18
5460,15
5461,55
5462,23
5464,16
5470,6
5473,16
5480,22
5481,11
5482,32
5483,19
5485,23
5490,6
5491,61
5495,13
5501,171
5502,30
5520,14
5522,28
5523,41
5540,218
5550,21
5552,10
5554,124
5555,24
5556,102
5558,119
5560,17
5570,17
5571,59
5572,9
5573,54
5575,91
5576,39
5577,23
5580,9
5581,25
5582,17
5583,26
5600,130
5602,52
5603,40
5604,13
5605,52
5606,589
5607,193
5608,95
5609,19
5630,7
5631,50
5632,10
5633,24
5640,46
5641,52
5642,23
5650,10
5652,33
5654,14
5661,6
5670,30
5671,13
5680,116
5690,121
5700,170
5701,5
5710,18
5720,6
5723,50
5725,37
5730,16
5731,7
5732,10
5950,20
6000,2103
6003,336
6004,481
6005,1068
6006,494
6007,625
6008,1386
6009,982
6010,815
6011,544
6012,334
6014,862
6015,312
6016,462
6017,1142
6018,1289
6019,872
6020,891
6021,1095
6022,129
6023,541
6024,395
6025,1005
6026,650
6027,1634
6028,780
6029,136
6030,1074
6031,413
6032,12
6033,41
6034,48
6035,214
6036,366
6037,98
6038,162
6041,29
6043,9
6044,58
6050,709
6051,436
6052,411
6053,659
6054,564
6055,726
6056,1113
6057,355
6058,276
6059,850
6060,749
6061,1171
6062,1163
6063,354
6064,811
6065,2593
6066,484
6068,5
6069,882
6070,133
6071,122
6072,25
6073,137
6074,23
6076,717
6077,113
6078,46
6081,139
6082,66
6083,110
6084,213
6090,797
6100,640
6101,646
6102,365
6103,312
6104,588
6105,499
6106,395
6107,1394
6108,532
6109,513
6110,947
6111,526
6112,1266
6121,133
6122,371
6123,40
6124,28
6125,100
6126,7
6147,353
6148,518
6149,533
6150,421
6151,790
6152,799
6153,990
6154,586
6155,1946
6156,598
6157,507
6158,376
6159,226
6160,844
6161,6
6162,562
6163,2057
6164,1670
6165,51
6166,389
6167,448
6168,549
6169,508
6170,217
6171,545
6172,256
6173,234
6174,80
6175,74
6176,50
6180,79
6181,11
6207,35
6208,207
6209,49
6210,1630
6211,157
6213,19
6214,12
6215,71
6218,8
6220,85
6221,9
6223,9
6224,31
6225,117
6226,15
6227,14
6228,5
6229,45
6230,1230
6231,15
6232,151
6233,294
6236,73
6237,78
6239,112
6244,94
6251,14
6252,8
6253,26
6254,8
6255,137
6256,13
6258,227
6260,82
6262,29
6271,82
6275,79
6280,1177
6281,612
6282,156
6284,140
6285,781
6286,52
6288,37
6290,93
6302,129
6304,55
6306,47
6308,59
6309,9
6311,23
6312,162
6313,6
6315,88
6316,21
6317,96
6318,15
6320,28
6321,23
6322,8
6323,27
6324,117
6326,31
6327,12
6328,19
6330,1148
6331,10
6332,5
6333,361
6335,41
6336,17
6337,25
6338,49
6341,14
6343,22
6346,37
6348,17
6350,16
6352,16
6353,56
6355,43
6356,9
6357,8
6358,13
6359,42
6361,9
6363,6
6365,22
6367,10
6369,48
6370,23
6372,8
6375,42
6383,31
6386,6
6390,16
6391,44
6392,29
6393,11
6394,11
6395,109
6396,19
6398,42
6401,207
6403,9
6405,11
6407,36
6409,22
6410,28
6411,17
6415,83
6418,44
6419,6
6420,11
6421,8
6423,5
6425,13
6426,20
6430,467
6432,101
6438,8
6440,6
6442,10
6443,17
6445,17
6446,9
6447,14
6448,10
6450,459
6460,34
6461,34
6462,5
6468,17
6472,18
6473,6
6475,22
6477,17
6479,31
6485,27
6488,15
6490,6
6501,38
6502,39
6503,76
6504,6
6505,9
6507,26
6509,7
6510,65
6511,39
6512,8
6514,19
6515,28
6516,85
6517,20
6518,14
6519,23
6521,24
6522,20
6525,112
6528,18
6530,1001
6531,18
6532,200
6535,62
6536,93
6537,43
6556,46
6558,20
6560,14
6562,24
6566,97
6567,6
6568,12
6569,15
6571,6
6575,18
6603,35
6606,17
6608,8
6609,31
6612,12
6613,6
6620,16
6623,16
6630,21
6631,5
6638,10
6640,5
6642,17
6646,9
6701,177
6707,166
6710,6
6713,29
6714,218
6718,8
6720,11
6721,96
6722,86
6725,442
6726,128
6728,66
6740,18
6743,204
6751,32
6753,35
6754,8
6760,7
6765,23
6770,20
6798,46
6799,22
6865,6
6872,12
6901,6
6903,5
6904,11
6914,5
6916,5
6951,15
6959,7
6979,5
7000,1347
7001,14
7004,424
7005,480
7007,83
7008,324
7009,456
7010,360
7011,174
7012,14
7015,197
7016,20
7017,120
7018,525
7019,69
7020,86
7021,85
7022,28
7023,10
7024,24
7025,75
7026,13
7030,261
7050,391
7051,6
7052,181
7053,115
7054,278
7055,30
7109,273
7112,109
7113,31
7116,63
7117,36
7120,36
7140,184
7150,101
7155,32
7162,28
7163,16
7170,259
7171,72
7172,108
7173,168
7174,14
7175,11
7177,28
7178,7
7179,33
7180,9
7182,13
7184,25
7190,136
7209,23
7210,27
7211,5
7212,69
7213,9
7214,13
7215,174
7216,161
7248,354
7249,365
7250,1706
7252,64
7253,65
7254,19
7255,38
7256,66
7258,54
7259,7
7260,89
7261,14
7262,66
7263,6
7264,18
7267,14
7268,40
7270,88
7275,84
7276,16
7277,173
7290,45
7291,15
7292,21
7300,60
7301,121
7302,39
7303,66
7304,192
7305,25
7306,125
7307,241
7310,742
7315,330
7316,143
7320,409
7321,108
7322,59
7325,176
7330,169
7331,48
7467,26
7468,40
7469,8
9726,6
N/A as <5 for postcode in April or May or postcode not available,1054
TOTAL,906484
