postcode,april_application_count,may_application_count,june_application_count
3959,51,55,58
3960,89,92,94
3962,19,19,20
3964,11,11,11
3965,5,5,5
3966,11,11,12
3971,87,91,89
3975,522,541,553
3976,586,601,629
3977,2884,3019,3134
3978,770,819,829
3979,10,12,13
3980,99,105,119
3981,137,152,157
3984,139,152,157
3987,35,40,44
3988,30,30,34
3991,15,15,16
3992,16,21,22
3995,321,346,359
3996,205,220,225
4000,3085,3235,3287
4001,64,66,71
4004,10,11,11
4005,872,917,910
4006,1670,1731,1747
4007,658,679,685
4008,115,132,132
4009,191,205,206
4010,291,307,308
4011,668,701,717
4012,701,730,728
4013,239,256,256
4014,538,562,567
4017,891,929,941
4018,303,302,305
4019,569,613,621
4020,671,713,723
4021,217,231,235
4022,119,125,124
4025,10,10,9
4030,580,606,603
4031,435,474,476
4032,537,569,578
4034,1419,1501,1497
4035,773,828,837
4036,123,137,137
4037,242,259,265
4051,995,1041,1051
4053,1346,1432,1429
4054,323,335,338
4055,479,496,495
4059,505,524,528
4060,488,525,527
4061,562,602,601
4064,1066,1104,1099
4065,370,393,398
4066,750,780,779
4067,223,244,243
4068,759,794,806
4069,1253,1322,1339
4070,367,378,370
4072,5,5,5
4073,331,348,355
4074,884,926,942
4075,749,789,800
4076,315,346,351
4077,814,836,852
4078,552,573,576
4101,1428,1493,1499
4102,487,520,522
4103,475,498,513
4104,234,240,233
4105,552,566,586
4106,299,320,328
4107,336,364,365
4108,515,536,539
4109,1586,1647,1638
4110,631,656,665
4111,26,28,28
4112,313,317,330
4113,1273,1317,1329
4114,683,720,722
4115,598,605,610
4116,1003,1030,1028
4117,88,92,98
4118,778,819,822
4119,519,539,550
4120,520,539,547
4121,844,896,900
4122,1597,1664,1689
4123,673,708,713
4124,573,614,618
4125,249,272,279
4127,1088,1135,1178
4128,554,591,607
4129,392,412,418
4130,356,381,390
4131,296,318,323
4132,365,392,411
4133,446,461,472
4151,670,703,716
4152,1421,1513,1513
4153,141,146,148
4154,371,395,390
4155,115,119,123
4156,129,142,147
4157,901,945,961
4158,90,94,90
4159,367,400,396
4160,565,593,592
4161,358,375,376
4163,614,644,654
4164,499,518,523
