region,date,data_type,values
Keilor East,2013-12-01,Unemployment rate %,3.6
Keilor East,2014-03-01,Unemployment rate %,4
Keilor East,2014-06-01,Unemployment rate %,4.2
Keilor East,2014-09-01,Unemployment rate %,4.3
Keilor East,2014-12-01,Unemployment rate %,4.2
Keilor East,2015-03-01,Unemployment rate %,3.9
Keilor East,2015-06-01,Unemployment rate %,3.9
Keilor East,2015-09-01,Unemployment rate %,3.8
Keilor East,2015-12-01,Unemployment rate %,3.8
Keilor East,2016-03-01,Unemployment rate %,4
Keilor East,2016-06-01,Unemployment rate %,4
Keilor East,2016-09-01,Unemployment rate %,3.9
Keilor East,2016-12-01,Unemployment rate %,4
Keilor East,2017-03-01,Unemployment rate %,4
Keilor East,2017-06-01,Unemployment rate %,4.1
Keilor East,2017-09-01,Unemployment rate %,4.2
Keilor East,2017-12-01,Unemployment rate %,4.2
Keilor East,2018-03-01,Unemployment rate %,4
Keilor East,2018-06-01,Unemployment rate %,3.7
Keilor East,2018-09-01,Unemployment rate %,3.4
Keilor East,2018-12-01,Unemployment rate %,3.2
Keilor East,2019-03-01,Unemployment rate %,3
Keilor East,2019-06-01,Unemployment rate %,3.1
Keilor East,2019-09-01,Unemployment rate %,3.2
Keilor East,2019-12-01,Unemployment rate %,3.3
Keilor East,2020-03-01,Unemployment rate %,3.4
Niddrie - Essendon West,2010-12-01,Unemployment rate %,3.3
Niddrie - Essendon West,2011-03-01,Unemployment rate %,3.2
Niddrie - Essendon West,2011-06-01,Unemployment rate %,2.9
Niddrie - Essendon West,2011-09-01,Unemployment rate %,2.7
Niddrie - Essendon West,2011-12-01,Unemployment rate %,2.7
Niddrie - Essendon West,2012-03-01,Unemployment rate %,2.5
Niddrie - Essendon West,2012-06-01,Unemployment rate %,2.3
Niddrie - Essendon West,2012-09-01,Unemployment rate %,2
Niddrie - Essendon West,2012-12-01,Unemployment rate %,1.8
Niddrie - Essendon West,2013-03-01,Unemployment rate %,1.9
Niddrie - Essendon West,2013-06-01,Unemployment rate %,2.2
Niddrie - Essendon West,2013-09-01,Unemployment rate %,2.6
Niddrie - Essendon West,2013-12-01,Unemployment rate %,2.8
Niddrie - Essendon West,2014-03-01,Unemployment rate %,3.2
Niddrie - Essendon West,2014-06-01,Unemployment rate %,3.2
Niddrie - Essendon West,2014-09-01,Unemployment rate %,3.2
Niddrie - Essendon West,2014-12-01,Unemployment rate %,3.1
Niddrie - Essendon West,2015-03-01,Unemployment rate %,2.7
Niddrie - Essendon West,2015-06-01,Unemployment rate %,2.7
Niddrie - Essendon West,2015-09-01,Unemployment rate %,2.7
Niddrie - Essendon West,2015-12-01,Unemployment rate %,2.8
Niddrie - Essendon West,2016-03-01,Unemployment rate %,2.9
Niddrie - Essendon West,2016-06-01,Unemployment rate %,2.8
Niddrie - Essendon West,2016-09-01,Unemployment rate %,2.7
Niddrie - Essendon West,2016-12-01,Unemployment rate %,2.5
Niddrie - Essendon West,2017-03-01,Unemployment rate %,2.4
Niddrie - Essendon West,2017-06-01,Unemployment rate %,2.4
Niddrie - Essendon West,2017-09-01,Unemployment rate %,2.5
Niddrie - Essendon West,2017-12-01,Unemployment rate %,2.5
Niddrie - Essendon West,2018-03-01,Unemployment rate %,2.3
Niddrie - Essendon West,2018-06-01,Unemployment rate %,2.1
Niddrie - Essendon West,2018-09-01,Unemployment rate %,1.9
Niddrie - Essendon West,2018-12-01,Unemployment rate %,1.8
Niddrie - Essendon West,2019-03-01,Unemployment rate %,1.8
Niddrie - Essendon West,2019-06-01,Unemployment rate %,2
Niddrie - Essendon West,2019-09-01,Unemployment rate %,2.2
Niddrie - Essendon West,2019-12-01,Unemployment rate %,2.3
Niddrie - Essendon West,2020-03-01,Unemployment rate %,2.3
Strathmore,2010-12-01,Unemployment rate %,2.5
Strathmore,2011-03-01,Unemployment rate %,2.3
Strathmore,2011-06-01,Unemployment rate %,2
Strathmore,2011-09-01,Unemployment rate %,1.9
Strathmore,2011-12-01,Unemployment rate %,1.8
Strathmore,2012-03-01,Unemployment rate %,1.8
Strathmore,2012-06-01,Unemployment rate %,1.8
Strathmore,2012-09-01,Unemployment rate %,1.7
Strathmore,2012-12-01,Unemployment rate %,1.6
Strathmore,2013-03-01,Unemployment rate %,1.6
Strathmore,2013-06-01,Unemployment rate %,1.8
Strathmore,2013-09-01,Unemployment rate %,2.1
Strathmore,2013-12-01,Unemployment rate %,2.3
Strathmore,2014-03-01,Unemployment rate %,2.5
Strathmore,2014-06-01,Unemployment rate %,2.5
Strathmore,2014-09-01,Unemployment rate %,2.5
Strathmore,2014-12-01,Unemployment rate %,2.3
Strathmore,2015-03-01,Unemployment rate %,2.1
Strathmore,2015-06-01,Unemployment rate %,2.1
Strathmore,2015-09-01,Unemployment rate %,2.1
Strathmore,2015-12-01,Unemployment rate %,2.1
Strathmore,2016-03-01,Unemployment rate %,2.1
Strathmore,2016-06-01,Unemployment rate %,2
Strathmore,2016-09-01,Unemployment rate %,1.9
Strathmore,2016-12-01,Unemployment rate %,2
Strathmore,2017-03-01,Unemployment rate %,2
Strathmore,2017-06-01,Unemployment rate %,2
Strathmore,2017-09-01,Unemployment rate %,2
Strathmore,2017-12-01,Unemployment rate %,1.9
Strathmore,2018-03-01,Unemployment rate %,1.8
Strathmore,2018-06-01,Unemployment rate %,1.7
Strathmore,2018-09-01,Unemployment rate %,1.7
Strathmore,2018-12-01,Unemployment rate %,1.7
Strathmore,2019-03-01,Unemployment rate %,1.6
Strathmore,2019-06-01,Unemployment rate %,1.6
Strathmore,2019-09-01,Unemployment rate %,1.6
Strathmore,2019-12-01,Unemployment rate %,1.7
Strathmore,2020-03-01,Unemployment rate %,1.7
City of Moonee Valley,2010-12-01,Unemployment rate %,4.4
City of Moonee Valley,2011-03-01,Unemployment rate %,4.3
City of Moonee Valley,2011-06-01,Unemployment rate %,4
City of Moonee Valley,2011-09-01,Unemployment rate %,3.8
City of Moonee Valley,2011-12-01,Unemployment rate %,3.8
City of Moonee Valley,2012-03-01,Unemployment rate %,4.1
City of Moonee Valley,2012-06-01,Unemployment rate %,4.3
City of Moonee Valley,2012-09-01,Unemployment rate %,4.4
City of Moonee Valley,2012-12-01,Unemployment rate %,4.2
City of Moonee Valley,2013-03-01,Unemployment rate %,4.1
City of Moonee Valley,2013-06-01,Unemployment rate %,4.5
City of Moonee Valley,2013-09-01,Unemployment rate %,5
City of Moonee Valley,2013-12-01,Unemployment rate %,5.5
City of Moonee Valley,2014-03-01,Unemployment rate %,6
City of Moonee Valley,2014-06-01,Unemployment rate %,5.9
City of Moonee Valley,2014-09-01,Unemployment rate %,5.8
City of Moonee Valley,2014-12-01,Unemployment rate %,5.9
City of Moonee Valley,2015-03-01,Unemployment rate %,5.6
City of Moonee Valley,2015-06-01,Unemployment rate %,5.6
City of Moonee Valley,2015-09-01,Unemployment rate %,5.5
