sa2_name,date,rate
Maribyrnong,2019-12-01,2.6
Seddon - Kingsville,2019-12-01,3.1
West Footscray - Tottenham,2019-12-01,5.2
Yarraville,2019-12-01,2.8
Bacchus Marsh,2019-12-01,5.9
Hillside,2019-12-01,3.3
Melton,2019-12-01,11.5
Melton South,2019-12-01,10.9
Melton West,2019-12-01,9.1
Rockbank - Mount Cottrell,2019-12-01,8.5
Taylors Hill,2019-12-01,3.5
Burnside,2019-12-01,NA
Burnside Heights,2019-12-01,NA
Caroline Springs,2019-12-01,NA
Hoppers Crossing - North,2019-12-01,6
Hoppers Crossing - South,2019-12-01,7.5
Laverton,2019-12-01,6.1
Tarneit,2019-12-01,3.9
Truganina,2019-12-01,3.4
Werribee - South,2019-12-01,6.7
Wyndham Vale,2019-12-01,7
Point Cook - East,2019-12-01,NA
Point Cook - North,2019-12-01,NA
Point Cook - South,2019-12-01,NA
Werribee - East,2019-12-01,NA
Werribee - West,2019-12-01,NA
Carrum Downs,2019-12-01,5.6
Frankston,2019-12-01,9.5
Frankston North,2019-12-01,12.6
Frankston South,2019-12-01,2.7
Langwarrin,2019-12-01,3.4
Seaford (Vic.),2019-12-01,6.4
Skye - Sandhurst,2019-12-01,2.8
Dromana,2019-12-01,4.2
Flinders,2019-12-01,1.4
Hastings - Somers,2019-12-01,6.2
Mornington,2019-12-01,4.1
Mount Eliza,2019-12-01,1
Mount Martha,2019-12-01,1.7
Point Nepean,2019-12-01,4.9
Rosebud - McCrae,2019-12-01,8.7
Somerville,2019-12-01,3.5
Ararat,2019-12-01,6.2
Ararat Region,2019-12-01,3.1
Horsham,2019-12-01,4.5
Horsham Region,2019-12-01,2.5
Nhill Region,2019-12-01,4.6
St Arnaud,2019-12-01,4.9
Stawell,2019-12-01,5.4
West Wimmera,2019-12-01,3
Yarriambiack,2019-12-01,5.1
Irymple,2019-12-01,2.6
Merbein,2019-12-01,5.1
Mildura Region,2019-12-01,2.3
Red Cliffs,2019-12-01,5.1
Mildura - North,2019-12-01,NA
Mildura - South,2019-12-01,NA
Buloke,2019-12-01,4.1
Gannawarra,2019-12-01,3.5
Kerang,2019-12-01,5.9
Robinvale,2019-12-01,3.5
Swan Hill,2019-12-01,4.6
Swan Hill Region,2019-12-01,3.8
Echuca,2019-12-01,3.5
Kyabram,2019-12-01,3.5
Lockington - Gunbower,2019-12-01,2.4
Rochester,2019-12-01,3
Rushworth,2019-12-01,4.6
Cobram,2019-12-01,4
Moira,2019-12-01,2.6
Numurkah,2019-12-01,3.6
Yarrawonga,2019-12-01,3.1
Mooroopna,2019-12-01,5.4
Shepparton - North,2019-12-01,4.1
Shepparton - South,2019-12-01,4.7
Shepparton Region - East,2019-12-01,2.1
Shepparton Region - West,2019-12-01,3.2
Glenelg (Vic.),2019-12-01,2.7
Hamilton (Vic.),2019-12-01,3.7
Portland,2019-12-01,5.4
Southern Grampians,2019-12-01,2
Camperdown,2019-12-01,3.2
Colac,2019-12-01,3
Colac Region,2019-12-01,1.9
Corangamite - North,2019-12-01,3.1
Corangamite - South,2019-12-01,1.5
Otway,2019-12-01,1.8
Moyne - East,2019-12-01,2.2
Moyne - West,2019-12-01,1.9
Warrnambool - North,2019-12-01,3.1
Warrnambool - South,2019-12-01,3.6
